Ball1;Ball2;ProphecyText;EntityType;SelfCondition;Entity1Conditions;Entity2Conditions;Entity3Conditions;SelfEffect;Entity1Effect;Entity2Effect;Entity3Effect;;;;;;;;;;;
Finances;Health;Receiving financial assistance from {0}, whom Connor helped a lot {1}, he will be able to obtain the medication necessary for his declining health.;StoryCharacter,StoryActivity;HealthMax,30;BondMin,70 MoneyMin,60;BondMin,30;;HealthPlus,30;BondPlus,10 MoneyPlus,-10;PopularityPlus,5;;;;;;;;;;;;
Finances;Career;To everyone's surprise, Connor's exceptional ability in {0} will be a great help in his {1} job, to the point of being promoted.;StoryActivity,StoryActivity;;BondMin,75;IsJob,1;;CareerPlus,10;;BondPlus,20;;;;;;;;;;;;
Finances;Nature;While walking by {0}, Connor will stumble over an old chest protruding from the sand. Inside, he will find a {1} of inestimable value.;StoryPlace,StoryItem;;BondMin,20 StateMax,40 IsShore,1;BondMax,0 ItemTypeIs,Artefact ;;;BondPlus,10;BondPlus,10 StatePlus,80;;;;;;;;;;;;
Finances;Friendship;{0} will be at the height of happiness when Connor gives her the financial boost she needs to start her {1} business.;StoryCharacter,StoryItem;;BondMin,20 MoneyMax,50;StateMin,30 ItemTypeIs,Tool;;FinancesPlus,-5;BondPlus,30 MoneyPlus,10;BondPlus,10;;;;;;;;;;;;
Finances;Love;Despite not being well off, Connor will help {0} to buy the necessary {1} for her job. Struck by his selflessness, she will fall in love with him.;StoryCharacter,StoryItem;;BondMin,60 MoneyMax,40 IsLover,0 CharacterTypeIs,Crush;ItemTypeIs,Tool StateMin,30;;;MoneyPlus,5 BondPlus,30 BecomesLover,1;;;;;;;;;;;;;
Finances;Spirituality;During a philosophical conversation with {0} in {1} too complicated for him, Connor will understand everything wrong. He will wrongly deduce to go and invest in stock options of {2}... with success, against all odds.;StoryCharacter,StoryPlace,StoryItem;;BondMin,30;PlaceTypeIs,City;StateMax,30;MoneyPlus,10;;BondPlus,5;StatePlus,10 BondPlus,10;;;;;;;;;;;
Health;Career;While on a mission near {0} with {1}, the latter will risk dying by falling into a dangerous place, which Connor will protect her from thanks to his agility and strength. {1} will be eternally grateful to him.;StoryPlace,StoryCharacter;;PlaceTypeIs,Nature;IsColleague,1;;CareerPlus,10;StatePlus,-10;BondPlus,10;;;;;;;;;;;;
Health;Nature;Connor will win an all-inclusive trip to {0} at a game show where he will invite {1}, spending an invigorating vacation;StoryPlace,StoryCharacter;;PlaceTypeIs,Nature;CharacterTypeIs,Crush BondMin,30;;HealthPlus,10;BondMin,10 StatePlus,10;BondPlus,10;;;;;;;;;;;;
Health;Friendship;Connor will take pity on {0}, who will in bad shape after an accident with {1}. He therefore will decide to help her with her rehabilitation by {2} with her, with success.;StoryCharacter,StoryItem,StoryActivity;;HealthMax,30;BondMin,30 ItemTypeIsNot,Event ItemTypeIsNot,Concept;BondMin,20 ActivityTypeIs,Sport;;BondPlus,20 HealthPlus,20;BondPlus,-10;BondPlus,5;;;;;;;;;;;
Health;Love;In order to find an excuse to see {0} regularly, Connor will follow her idea to enroll together in the municipal course to get better at {1}, which he will comme to enjoy dearly.;StoryCharacter,StoryActivity;;CharacterTypeIs,Crush BondMin,30;BondMax,20;;HealthPlus,5;BondPlus,10;BondPlus,20;;;;;;;;;;;;
